   807.2163 -3.080 19.00   21026.551  0.5 5s 2S        33411.399  1.5 10p 2P                           
   807.2924 -3.381 19.00   21026.551  0.5 5s 2S        33410.231  0.5 10p 2P                           
   807.8104 -1.414 19.00   21534.680  2.5 3d 2D        33910.420  3.5 10f 2F                           
   807.8104 -2.715 19.00   21534.680  2.5 3d 2D        33910.420  2.5 10f 2F                           
   807.9610 -1.569 19.00   21536.988  1.5 3d 2D        33910.420  2.5 10f 2F                           
   819.2690 -3.199 19.00   21534.680  2.5 3d 2D        33737.328  1.5 11p 2P                           
   819.4240 -4.153 19.00   21536.988  1.5 3d 2D        33737.328  1.5 11p 2P                           
   819.4798 -3.454 19.00   21536.988  1.5 3d 2D        33736.498  0.5 11p 2P                           
   825.0164 -2.513 19.00   21534.680  2.5 3d 2D        33652.320  2.5 9f 2F                            
   825.0164 -1.212 19.00   21534.680  2.5 3d 2D        33652.320  3.5 9f 2F                            
   825.1736 -1.367 19.00   21536.988  1.5 3d 2D        33652.320  2.5 9f 2F                            
   839.0212 -2.817 19.00   21026.551  0.5 5s 2S        32941.926  1.5 9p 2P                            
   839.1426 -3.118 19.00   21026.551  0.5 5s 2S        32940.203  0.5 9p 2P                            
   841.7521 -2.958 19.00   21534.680  2.5 3d 2D        33411.399  1.5 10p 2P                           
   841.9157 -3.912 19.00   21536.988  1.5 3d 2D        33411.399  1.5 10p 2P                           
   841.9985 -3.213 19.00   21536.988  1.5 3d 2D        33410.231  0.5 10p 2P                           
   850.3437 -0.992 19.00   21534.680  2.5 3d 2D        33291.400  3.5 8f 2F                            
   850.3437 -2.293 19.00   21534.680  2.5 3d 2D        33291.400  2.5 8f 2F                            
   850.5107 -1.147 19.00   21536.988  1.5 3d 2D        33291.400  2.5 8f 2F                            
   876.3951 -2.682 19.00   21534.680  2.5 3d 2D        32941.926  1.5 9p 2P                            
   876.5725 -3.636 19.00   21536.988  1.5 3d 2D        32941.926  1.5 9p 2P                            
   876.7049 -2.937 19.00   21536.988  1.5 3d 2D        32940.203  0.5 9p 2P                            
   890.2180 -0.740 19.00   21534.680  2.5 3d 2D        32764.800  3.5 7f 2F                            
   890.2180 -2.041 19.00   21534.680  2.5 3d 2D        32764.800  2.5 7f 2F                            
   890.4010 -0.895 19.00   21536.988  1.5 3d 2D        32764.800  2.5 7f 2F                            
   892.3285 -2.477 19.00   21026.551  0.5 5s 2S        32230.110  1.5 8p 2P                            
   892.5412 -2.778 19.00   21026.551  0.5 5s 2S        32227.440  0.5 8p 2P                            
   934.7223 -2.355 19.00   21534.680  2.5 3d 2D        32230.110  1.5 8p 2P                            
   934.9241 -3.310 19.00   21536.988  1.5 3d 2D        32230.110  1.5 8p 2P                            
   935.1576 -2.611 19.00   21536.988  1.5 3d 2D        32227.440  0.5 8p 2P                            
   959.5688 -0.429 19.00   21534.680  2.5 3d 2D        31953.170  3.5 6f 2F                            
   959.5688 -1.730 19.00   21534.680  2.5 3d 2D        31953.170  2.5 6f 2F                            
   959.7814 -0.584 19.00   21536.988  1.5 3d 2D        31953.170  2.5 6f 2F                            
   994.9651 -2.010 19.00   21026.551  0.5 5s 2S        31074.400  1.5 7p 2P                            
   995.4109 -2.312 19.00   21026.551  0.5 5s 2S        31069.900  0.5 7p 2P                            
  1013.4306 -3.116 19.00   34566.152  1.5 16d 2D       24701.382  0.5 5p 2P                            
  1015.3612 -3.816 19.00   34566.152  1.5 16d 2D       24720.139  1.5 5p 2P                            
  1015.3622 -2.862 19.00   34566.142  2.5 16d 2D       24720.139  1.5 5p 2P                            
  1019.8668 -3.037 19.00   34503.897  1.5 15d 2D       24701.382  0.5 5p 2P                            
  1021.8221 -3.737 19.00   34503.897  1.5 15d 2D       24720.139  1.5 5p 2P                            
  1021.8234 -2.782 19.00   34503.884  2.5 15d 2D       24720.139  1.5 5p 2P                            
  1027.8706 -2.990 19.00   34427.567  1.5 14d 2D       24701.382  0.5 5p 2P                            
  1029.8567 -3.690 19.00   34427.567  1.5 14d 2D       24720.139  1.5 5p 2P                            
  1029.8584 -2.736 19.00   34427.551  2.5 14d 2D       24720.139  1.5 5p 2P                            
  1038.0078 -4.103 19.00   34332.582  1.5 13d 2D       24701.382  0.5 5p 2P                            
  1040.0333 -4.803 19.00   34332.582  1.5 13d 2D       24720.139  1.5 5p 2P                            
  1040.0353 -3.849 19.00   34332.563  2.5 13d 2D       24720.139  1.5 5p 2P                            
  1047.9616 -1.945 19.00   21534.680  2.5 3d 2D        31074.400  1.5 7p 2P                            
  1048.2152 -2.899 19.00   21536.988  1.5 3d 2D        31074.400  1.5 7p 2P                            
  1048.7100 -2.201 19.00   21536.988  1.5 3d 2D        31069.900  0.5 7p 2P                            
  1049.8205 -2.933 19.00   34224.211  0.5 14s 2S       24701.382  0.5 5p 2P                            
  1051.1309 -3.053 19.00   34212.339  1.5 12d 2D       24701.382  0.5 5p 2P                            
  1051.8924 -2.633 19.00   34224.211  0.5 14s 2S       24720.139  1.5 5p 2P                            
  1053.2080 -3.753 19.00   34212.339  1.5 12d 2D       24720.139  1.5 5p 2P                            
  1053.2107 -2.798 19.00   34212.314  2.5 12d 2D       24720.139  1.5 5p 2P                            
  1066.8460 -2.853 19.00   34072.239  0.5 13s 2S       24701.382  0.5 5p 2P                            
  1068.5793 -2.868 19.00   34057.039  1.5 11d 2D       24701.382  0.5 5p 2P                            
  1068.9857 -2.553 19.00   34072.239  0.5 13s 2S       24720.139  1.5 5p 2P                            
  1070.7260 -3.568 19.00   34057.039  1.5 11d 2D       24720.139  1.5 5p 2P                            
  1070.7299 -2.613 19.00   34057.005  2.5 11d 2D       24720.139  1.5 5p 2P                            
  1090.2024 -2.723 19.00   33871.479  0.5 12s 2S       24701.382  0.5 5p 2P                            
  1092.4369 -2.422 19.00   33871.479  0.5 12s 2S       24720.139  1.5 5p 2P                            
  1092.5659 -2.747 19.00   33851.642  1.5 10d 2D       24701.382  0.5 5p 2P                            
  1094.8101 -3.447 19.00   33851.642  1.5 10d 2D       24720.139  1.5 5p 2P                            
  1094.8156 -2.493 19.00   33851.596  2.5 10d 2D       24720.139  1.5 5p 2P                            
  1101.9849 -0.006 19.00   21534.680  2.5 3d 2D        30606.730  3.5 5f 2F                            
  1101.9849 -1.307 19.00   21534.680  2.5 3d 2D        30606.730  2.5 5f 2F                            
  1102.2653 -0.161 19.00   21536.988  1.5 3d 2D        30606.730  2.5 5f 2F                            
  1123.6442 -2.560 19.00   33598.560  0.5 11s 2S       24701.382  0.5 5p 2P                            
  1126.0181 -2.259 19.00   33598.560  0.5 11s 2S       24720.139  1.5 5p 2P                            
  1126.9927 -2.658 19.00   33572.125  1.5 9d 2D        24701.382  0.5 5p 2P                            
  1129.3807 -3.358 19.00   33572.125  1.5 9d 2D        24720.139  1.5 5p 2P                            
  1129.3892 -2.404 19.00   33572.059  2.5 9d 2D        24720.139  1.5 5p 2P                            
  1169.0242  0.263 19.00   21536.988  1.5 3d 2D        12985.186  0.5 4p 2P                            
  1174.3740 -2.360 19.00   33214.227  0.5 10s 2S       24701.382  0.5 5p 2P                            
  1176.9667 -0.439 19.00   21536.988  1.5 3d 2D        13042.896  1.5 4p 2P                            
  1176.9673 -2.060 19.00   33214.227  0.5 10s 2S       24720.139  1.5 5p 2P                            
  1177.2866  0.515 19.00   21534.680  2.5 3d 2D        13042.896  1.5 4p 2P                            
  1179.3607 -2.617 19.00   33178.232  1.5 8d 2D        24701.382  0.5 5p 2P                            
  1181.9761 -3.317 19.00   33178.232  1.5 8d 2D        24720.139  1.5 5p 2P                            
  1181.9898 -2.362 19.00   33178.134  2.5 8d 2D        24720.139  1.5 5p 2P                            
  1243.2298 -0.361 19.00   21026.551  0.5 5s 2S        12985.186  0.5 4p 2P                            
  1252.2165 -0.063 19.00   21026.551  0.5 5s 2S        13042.896  1.5 4p 2P                            
  1252.6082 -1.287 19.00   21026.551  0.5 5s 2S        29007.710  1.5 6p 2P                            
  1253.9342 -1.589 19.00   21026.551  0.5 5s 2S        28999.270  0.5 6p 2P                            
  1257.9972 -2.111 19.00   32648.351  0.5 9s 2S        24701.382  0.5 5p 2P                            
  1260.9735 -1.811 19.00   32648.351  0.5 9s 2S        24720.139  1.5 5p 2P                            
  1265.9474 -2.709 19.00   32598.444  1.5 7d 2D        24701.382  0.5 5p 2P                            
  1268.9614 -3.409 19.00   32598.444  1.5 7d 2D        24720.139  1.5 5p 2P                            
  1268.9865 -2.455 19.00   32598.288  2.5 7d 2D        24720.139  1.5 5p 2P                            
  1337.7795 -1.355 19.00   21534.680  2.5 3d 2D        29007.710  1.5 6p 2P                            
  1338.1928 -2.309 19.00   21536.988  1.5 3d 2D        29007.710  1.5 6p 2P                            
  1339.7063 -1.611 19.00   21536.988  1.5 3d 2D        28999.270  0.5 6p 2P                            
